Cidade,Estado,Temp Max,Temp Min,Umidade,Umidade Min
Abadiânia, GO, 25º, 18º, 96% , 69% 
Alegrete, RS, 30º, 23º, 80% , 55% 
Alfenas, MG, 28º, 17º, 89% , 52% 
Alambari, SP, 27º, 15º, 96% , 49% 
Aguiar, PB, 37º, 23º, 68% , 20% 
Alecrim, RS, 32º, 22º, 74% , 47% 
Alegrete do Piauí, PI, 36º, 24º, 73% , 28% 
Alcinópolis, MS, 35º, 22º, 84% , 44% 
Águas de Santa Bárbara, SP, 31º, 17º, 85% , 44% 
Águas Lindas de Goiás, GO, 26º, 18º, 94% , 63% 
Águas de Lindóia, SP, 28º, 17º, 84% , 48% 
Bocaina, PI, 38º, 25º, 65% , 24% 
Agricolândia, PI, 34º, 24º, 85% , 41% 
Água Limpa, GO, 30º, 19º, 97% , 59% 
Bocaina, SP, 31º, 19º, 82% , 42% 
Belagua, MA, 36º, 24º, 86% , 37% 
Cipotânea, MG, 24º, 15º, 99% , 60% 
Cipó, BA, 35º, 22º, 91% , 32% 
Claraval, MG, 28º, 18º, 92% , 51% 
Claro dos Poções, MG, 29º, 18º, 97% , 54% 
Clevelândia, PR, 27º, 16º, 87% , 48% 
Ciríaco, RS, 26º, 16º, 92% , 54% 
Cidreira, RS, 25º, 20º, 89% , 85% 
Clementina, SP, 32º, 20º, 73% , 48% 
Cidelândia, MA, 35º, 25º, 78% , 42% 
Cláudio, MG, 27º, 16º, 87% , 53% 
Cidade Ocidental, GO, 25º, 18º, 96% , 67% 
Cidade Gaúcha, PR, 33º, 21º, 69% , 36% 
Cícero Dantas, BA, 34º, 21º, 95% , 37% 
Chupinguaia, RO, 29º, 23º, 99% , 75% 
Emilianópolis, SP, 33º, 22º, 66% , 44% 
Chuvisca, RS, 27º, 16º, 100% , 59% 
Igarapava, SP, 30º, 20º, 90% , 54% 
Igarapé do Meio, MA, 34º, 26º, 85% , 45% 
Igaci, AL, 32º, 21º, 91% , 44% 
Igarapé, MG, 26º, 16º, 97% , 55% 
Igaraçu do Tietê, SP, 33º, 18º, 86% , 37% 
Igarapé-Miri, PA, 34º, 24º, 87% , 45% 
Igaracy, PB, 37º, 23º, 69% , 19% 
Iconha, ES, 26º, 20º, 95% , 68% 
Icém, SP, 31º, 22º, 91% , 56% 
Icatu, MA, 34º, 25º, 82% , 47% 
Igarapé Grande, MA, 35º, 25º, 83% , 45% 
Icapuí, CE, 31º, 25º, 82% , 69% 
Icó, CE, 38º, 25º, 75% , 25% 
Ielmo Marinho, RN, 33º, 23º, 94% , 44% 
Ibiúna, SP, 26º, 15º, 98% , 59% 
Icaraíma, PR, 35º, 23º, 61% , 29% 
Jequitibá, MG, 26º, 18º, 90% , 59% 
João Dias, RN, 37º, 23º, 81% , 25% 
Jequitinhonha, MG, 27º, 19º, 100% , 70% 
Miguelópolis, SP, 30º, 22º, 82% , 55% 
Milagres, CE, 37º, 24º, 74% , 22% 
Milton Brandão, PI, 36º, 23º, 74% , 29% 
Milagres, BA, 31º, 20º, 94% , 47% 
Miguel Pereira, RJ, 25º, 16º, 100% , 64% 
Milhã, CE, 36º, 23º, 83% , 30% 
Milagres do Maranhão, MA, 38º, 24º, 84% , 30% 
Miguel Leão, PI, 37º, 24º, 82% , 37% 
Miguel Calmon, BA, 31º, 19º, 95% , 38% 
Miguel Alves, PI, 39º, 25º, 80% , 24% 
Messias Targino, RN, 37º, 23º, 79% , 24% 
Mesópolis, SP, 31º, 22º, 88% , 55% 
Mesquita, MG, 27º, 18º, 100% , 57% 
Nacip Raydan, MG, 28º, 19º, 99% , 49% 
Mesquita, RJ, 27º, 18º, 100% , 62% 
Meruoca, CE, 35º, 23º, 91% , 37% 
