,Cidade,Estado,AreaUrbana
0,São Paulo,SP,914.5644
1,Rio de Janeiro,RJ,640.3365
2,Brasília,DF,590.2166
3,Curitiba,PR,336.5066
4,Goiânia,GO,301.5507
5,Manaus,AM,277.0854
6,Belo Horizonte,MG,274.042
7,Fortaleza,CE,253.6912
8,Campo Grande,MS,252.6269
9,Campinas,SP,245.1428
10,Porto Alegre,RS,214.9087
11,Salvador,,196.2572
12,Uberlândia,MG,172.8539
13,Teresina,PI,172.2605
14,São Luís,MA,165.9574
15,Cuiabá,MT,160.5942
16,Guarulhos,SP,156.5236
17,Ribeirão Preto,SP,149.4211
18,Belém,,147.3517
19,Feira de Santana,,143.1515
20,Porto Velho,RO,143.0943
21,Recife,PE,142.9853
22,Aparecida de Goiânia,GO,140.4331
23,Duque de Caxias,RJ,138.6772
24,Joinville,SC,137.5985
25,Sorocaba,SP,134.9586
26,São Gonçalo,RJ,129.8256
27,Londrina,PR,129.4435
28,São José dos Campos,SP,128.9418
29,São José do Rio Preto,SP,124.7914
30,Nova Iguaçu,RJ,122.9915
31,Boa Vista,RR,116.7697
32,Maceió,AL,115.0845
33,Maringá,PR,112.696
34,Piracicaba,SP,110.835
35,João Pessoa,PB,110.8201
36,Florianópolis,SC,108.7892
37,Jundiaí,SP,107.222
38,Caxias do Sul,RS,104.7056
39,Palmas,TO,104.4644
40,Anápolis,GO,103.3523
41,Camaçari,,102.4264
42,Contagem,MG,102.3259
43,Natal,RN,99.3168
44,Uberaba,MG,98.7215
45,Blumenau,SC,98.2463
46,Ponta Grossa,PR,97.1042
47,Juiz de Fora,MG,96.6963
48,Campos dos Goytacazes,RJ,95.1659
49,Santarém,,95.0074
50,Serra,ES,93.6867
51,Itaboraí,RJ,92.8138
52,Betim,MG,92.0235
53,São José dos Pinhais,PR,91.4555
54,Cascavel,PR,91.2399
55,Rio Branco,AC,87.42
56,Rondonópolis,MT,87.0089
57,Petrolina,PE,86.3902
58,Várzea Grande,MT,86.2432
59,Maricá,RJ,85.8766
60,Bauru,SP,85.7806
61,Foz do Iguaçu,PR,85.2285
62,Aracaju,SE,84.5693
63,São Bernardo do Campo,SP,84.1272
64,Franca,SP,82.3351
65,Macapá,AP,82.2877
66,Petrópolis,RJ,81.7758
67,Araraquara,SP,80.171
68,Santa Maria,RS,80.0435
69,São Carlos,SP,79.8655
70,Pelotas,RS,79.3942
71,Limeira,SP,79.256
72,Dourados,MS,78.5508
73,Vitória da Conquista,,77.513
74,Luziânia,GO,77.4962
75,Mogi das Cruzes,SP,75.0322
76,Caucaia,CE,74.5909
77,Jaboatão dos Guararapes,PE,74.5196
78,Canoas,RS,74.4304
79,Indaiatuba,SP,74.3594
80,Gravataí,RS,73.8747
81,Mossoró,RN,73.5522
82,Montes Claros,MG,73.5097
83,Taubaté,SP,71.4342
84,Niterói,RJ,70.5238
