,Cidade,Estado,Temp Max,Temp Min,Umidade,Umidade Min,Dia,Qualidade UR
0,Alagoa Nova,PB,27,18,96,60,19/8/2024,1
1,Alecrim,RS,30,19,67,38,19/8/2024,2
2,Alcinópolis,MS,37,21,35,13,19/8/2024,4
3,Alambari,SP,33,18,42,18,19/8/2024,3
4,Alcântaras,CE,33,19,94,41,19/8/2024,1
5,Aiuruoca,MG,27,11,72,27,19/8/2024,2
6,Alagoinha,PB,28,19,96,58,19/8/2024,1
7,Abadiânia,GO,30,16,42,22,19/8/2024,3
8,Alagoinha do Piauí,PI,34,21,75,28,19/8/2024,2
9,Aguiarnópolis,TO,37,23,62,25,19/8/2024,2
10,Aguiar,PB,34,21,74,31,19/8/2024,2
11,Alagoa Grande,PB,28,19,96,58,19/8/2024,1
12,Agudos do Sul,PR,32,16,55,21,19/8/2024,3
13,Águas Lindas de Goiás,GO,29,16,47,24,19/8/2024,3
14,Águas de Lindóia,SP,32,17,48,19,19/8/2024,3
15,Águas Belas,PE,27,19,95,57,19/8/2024,1
16,Arealva,SP,35,18,42,16,19/8/2024,4
17,Areal,RJ,30,15,61,29,19/8/2024,2
18,Arenópolis,GO,35,19,38,16,19/8/2024,4
19,Ariranha,SP,34,18,42,16,19/8/2024,4
20,Bagre,PA,34,25,93,45,19/8/2024,1
21,Baixa Grande do Ribeiro,PI,35,23,55,26,19/8/2024,2
22,Baixa Grande,BA,27,16,100,54,19/8/2024,1
23,Baião,PA,35,24,99,42,19/8/2024,1
24,Baía da Traição,PB,28,21,98,64,19/8/2024,1
25,Baianópolis,BA,30,15,84,28,19/8/2024,2
26,Bagé,RS,21,13,100,81,19/8/2024,1
27,Baía Formosa,RN,27,22,91,67,19/8/2024,1
28,Bady Bassitt,SP,35,18,42,15,19/8/2024,4
29,Bacurituba,MA,32,24,93,60,19/8/2024,1
30,Baependi,MG,28,12,69,27,19/8/2024,2
31,Bacuri,MA,31,24,96,57,19/8/2024,1
32,Bacabeira,MA,34,23,97,46,19/8/2024,1
33,Bacabal,MA,35,22,94,37,19/8/2024,1
34,Barão do Triunfo,RS,21,17,96,82,19/8/2024,1
35,Bariri,SP,36,18,41,15,19/8/2024,4
36,Barreiras,BA,32,17,81,25,19/8/2024,2
37,Barreiras do Piauí,PI,33,21,62,25,19/8/2024,2
38,Bofete,SP,35,18,41,16,19/8/2024,4
39,Bodoquena,MS,37,20,42,17,19/8/2024,4
40,Boituva,SP,34,18,45,17,19/8/2024,3
41,Bom Jardim,PE,27,18,97,61,19/8/2024,1
42,Bom Jardim,RJ,28,14,58,33,19/8/2024,2
43,Bom Despacho,MG,30,16,60,25,19/8/2024,2
44,Bocaiúva do Sul,PR,31,16,49,22,19/8/2024,3
45,Bom Jardim da Serra,SC,28,17,52,28,19/8/2024,2
46,Bodó,RN,29,19,92,46,19/8/2024,1
47,Bocaiúva,MG,28,12,96,30,19/8/2024,1
48,Bocaína do Sul,SC,29,15,63,27,19/8/2024,2
49,Bocaina,SP,36,19,40,15,19/8/2024,4
50,Boca do Acre,AM,35,23,90,46,19/8/2024,1
51,Boa Vista do Sul,RS,28,18,77,49,19/8/2024,1
52,Bujari,AC,35,23,88,45,19/8/2024,1
53,Boracéia,SP,36,19,42,15,19/8/2024,4
54,Cachoeirinha,RS,23,18,91,69,19/8/2024,1
55,Cachoeiro de Itapemirim,ES,31,15,73,31,19/8/2024,2
56,Cacimba de Areia,PB,31,19,84,39,19/8/2024,1
57,Cacimba de Dentro,PB,28,19,94,56,19/8/2024,1
58,Cachoeirinha,PE,26,17,97,63,19/8/2024,1
59,Cacique Doble,RS,30,16,60,29,19/8/2024,2
60,Cacimbas,PB,29,18,91,42,19/8/2024,1
61,Cacimbinhas,AL,27,19,97,60,19/8/2024,1
62,Cachoeirinha,TO,36,23,62,27,19/8/2024,2
63,Cachoeira Paulista,SP,31,16,57,24,19/8/2024,2
64,Cachoeiras de Macacu,RJ,32,18,58,30,19/8/2024,2
65,Cachoeira Grande,MA,34,23,97,49,19/8/2024,1
66,Cachoeira Dourada,GO,34,18,44,17,19/8/2024,3
67,Cachoeira dos Índios,PB,34,21,74,31,19/8/2024,2
68,Calumbi,PE,30,18,87,38,19/8/2024,1
69,Cambé,PR,33,17,44,17,19/8/2024,3
70,Calmon,SC,30,14,56,23,19/8/2024,3
71,Candeias,BA,26,20,90,71,19/8/2024,1
72,Canas,SP,31,16,57,24,19/8/2024,2
73,Candeal,BA,27,18,94,60,19/8/2024,1
74,Canavieiras,BA,26,21,84,55,19/8/2024,1
75,Canavieira,PI,35,24,58,27,19/8/2024,2
76,Canápolis,BA,30,17,78,25,19/8/2024,2
77,Canápolis,MG,33,20,39,17,19/8/2024,4
78,Cana Verde,MG,30,12,77,26,19/8/2024,2
79,Canaã dos Carajás,PA,34,21,75,34,19/8/2024,2
80,Cananéia,SP,28,17,79,44,19/8/2024,1
81,Canaã,MG,28,13,77,34,19/8/2024,2
82,Campos Verdes,GO,35,20,36,15,19/8/2024,4
83,Capitão de Campos,PI,36,23,89,30,19/8/2024,2
84,Carlos Gomes,RS,31,16,60,26,19/8/2024,2
85,Carrasco Bonito,TO,37,24,73,25,19/8/2024,2
86,Carnaúba dos Dantas,RN,31,20,87,42,19/8/2024,1
87,Caruaru,PE,25,17,97,68,19/8/2024,1
88,Carnaíba,PE,29,18,89,40,19/8/2024,1
89,Colorado,RS,28,18,62,52,19/8/2024,2
90,Coluna,MG,27,12,87,34,19/8/2024,1
91,Colorado,PR,35,20,33,14,19/8/2024,4
92,Colômbia,SP,35,19,40,16,19/8/2024,4
93,Colônia Leopoldina,AL,25,18,97,77,19/8/2024,1
94,Comendador Gomes,MG,34,19,41,16,19/8/2024,4
95,Colombo,PR,31,16,49,22,19/8/2024,3
96,Colônia do Piauí,PI,35,23,65,29,19/8/2024,2
97,Colinas do Tocantins,TO,36,25,43,24,19/8/2024,3
98,Colméia,TO,36,22,46,24,19/8/2024,3
99,Colinas,MA,35,22,62,30,19/8/2024,2
100,Colinas,RS,29,18,77,49,19/8/2024,1
101,Colares,PA,30,26,91,75,19/8/2024,1
102,Colider,MT,37,21,58,22,19/8/2024,2
103,Coivaras,PI,36,23,74,30,19/8/2024,2
104,Dourado,SP,35,19,40,16,19/8/2024,4
105,Dormentes,PE,31,19,83,34,19/8/2024,2
106,Dores do Rio Preto,ES,30,14,73,29,19/8/2024,2
107,Douradoquara,MG,31,17,45,25,19/8/2024,3
108,Douradina,PR,37,19,36,14,19/8/2024,4
109,Doresópolis,MG,30,16,56,24,19/8/2024,2
110,Douradina,MS,38,21,51,18,19/8/2024,3
111,Dores do Indaiá,MG,30,16,53,24,19/8/2024,3
112,Dores de Campos,MG,29,13,80,24,19/8/2024,2
113,Dona Inês,PB,29,20,97,55,19/8/2024,1
114,Dona Francisca,RS,27,17,84,57,19/8/2024,1
115,Dona Emma,SC,33,14,72,25,19/8/2024,2
116,Domingos Martins,ES,28,15,81,41,19/8/2024,1
117,Dom Viçoso,MG,27,13,62,28,19/8/2024,2
118,Dom Silvério,MG,29,12,91,33,19/8/2024,1
119,Esperantinópolis,MA,35,22,76,33,19/8/2024,2
120,Estância Velha,RS,22,17,91,76,19/8/2024,1
121,Érico Cardoso,BA,26,15,90,41,19/8/2024,1
122,Estreito,MA,37,23,62,25,19/8/2024,2
123,Foz do Iguaçu,PR,35,20,45,22,19/8/2024,3
124,Fortaleza dos Valos,RS,28,18,71,59,19/8/2024,1
125,Foz do Jordão,PR,32,17,42,19,19/8/2024,3
126,Fortaleza dos Nogueiras,MA,35,24,52,28,19/8/2024,2
127,Fortuna de Minas,MG,30,14,82,23,19/8/2024,2
128,Fortuna,MA,35,23,62,30,19/8/2024,2
129,Fortaleza do Tabocão,TO,37,22,46,22,19/8/2024,3
130,Fortim,CE,30,24,82,58,19/8/2024,1
131,Forquilhinha,SC,30,20,81,38,19/8/2024,2
132,Fortaleza de Minas,MG,31,16,50,19,19/8/2024,3
133,Forquilha,CE,34,21,90,37,19/8/2024,1
134,Fortaleza,CE,28,25,83,69,19/8/2024,1
135,Goianinha,RN,29,21,96,58,19/8/2024,1
136,Guapirama,PR,34,16,55,15,19/8/2024,3
137,Guapimirim,RJ,29,16,51,35,19/8/2024,2
138,Iati,PE,25,17,96,63,19/8/2024,1
139,Iaciara,GO,33,17,75,20,19/8/2024,2
140,Iaçu,BA,28,16,96,53,19/8/2024,1
141,Iacri,SP,35,20,34,16,19/8/2024,4
142,Iaras,SP,34,18,40,15,19/8/2024,4
143,Iapu,MG,28,14,91,36,19/8/2024,1
144,Iacanga,SP,35,18,43,17,19/8/2024,3
145,Hulha Negra,RS,20,12,100,85,19/8/2024,1
146,Hugo Napoleão,PI,35,23,57,31,19/8/2024,2
147,Humaitá,RS,31,18,70,42,19/8/2024,2
148,Humaitá,AM,37,25,81,40,19/8/2024,1
149,Humberto de Campos,MA,31,25,93,58,19/8/2024,1
150,Ielmo Marinho,RN,30,20,97,52,19/8/2024,1
151,Igaratá,SP,31,16,48,23,19/8/2024,3
152,Iguape,SP,31,16,88,42,19/8/2024,1
153,Iguaí,BA,26,16,99,44,19/8/2024,1
154,Iguaba Grande,RJ,30,18,95,46,19/8/2024,1
155,Itagibá,BA,28,16,100,45,19/8/2024,1
156,Itaeté,BA,28,17,94,47,19/8/2024,1
157,Itaguaçu,ES,28,15,97,41,19/8/2024,1
158,Itaguari,GO,33,18,40,17,19/8/2024,4
159,Itaguaí,RJ,30,20,76,41,19/8/2024,2
160,Itaguaçu da Bahia,BA,31,18,82,32,19/8/2024,2
161,Itaguajé,PR,36,19,34,15,19/8/2024,4
162,Itacurubi,RS,27,18,84,61,19/8/2024,1
163,Itacoatiara,AM,35,26,87,45,19/8/2024,1
164,Itacarambi,MG,29,16,82,27,19/8/2024,2
165,Itacajá,TO,36,21,55,23,19/8/2024,3
166,Itabuna,BA,28,17,100,48,19/8/2024,1
167,Itacaré,BA,27,19,90,54,19/8/2024,1
168,Itapetinga,BA,29,16,100,38,19/8/2024,1
169,Itacambira,MG,26,12,89,34,19/8/2024,1
170,Itabira,MG,28,11,89,32,19/8/2024,1
171,Itapiratins,TO,37,24,47,23,19/8/2024,3
172,Itueta,MG,30,16,92,37,19/8/2024,1
173,Itupiranga,PA,37,24,80,30,19/8/2024,2
174,Ituverava,SP,33,19,39,17,19/8/2024,4
175,Itumirim,MG,30,13,70,24,19/8/2024,2
176,Itupeva,SP,32,18,45,20,19/8/2024,3
177,Itumbiara,GO,34,19,40,18,19/8/2024,4
178,Ituiutaba,MG,34,19,41,16,19/8/2024,4
179,Iturama,MG,36,21,37,15,19/8/2024,4
180,Ituberá,BA,27,20,95,57,19/8/2024,1
181,Ituaçu,BA,25,17,89,51,19/8/2024,1
182,Itobi,SP,32,18,46,18,19/8/2024,3
183,Itirapuã,SP,31,16,48,17,19/8/2024,3
184,Itiúba,BA,27,19,92,53,19/8/2024,1
